Claudio Reyna
Moe Berg
Tim Duncan
Evgeni Malkin
Len Ford
Corey Perry
Derek Jeter
Stan Mikita
Tom Brady
Andrea Pirlo
Joe Namath
Patrick Ewing
Michael Jordan
Ivan Hlinka
George Best
Terrell Owens
Dick Butkus
Woody Strode
Raimo Helminen
Cuauhtémoc Blanco
Kaká
Jaromír Jágr
Colin Kaepernick
Zdeno Chára
Brock Lesnar
Thierry Henry
Lou Gehrig
Terry Crews
Sergei Fedorov
Roger Maris
Yogi Berra
Stephen Curry
Mikaël Silvestre
Hope Solo
Jason Kidd
Steve Nash
Tony Gwynn
Shane Doan
Cam Newton
Matteo Ferrari
David Andersen
Tim Cahill
Willie Stargell
Fred Williamson
Stan Musial
Roger Staubach
Ernie Barnes
Bastian Schweinsteiger
Kevin Garnett
Elroy Hirsch
Mauricio Wright
Satchel Paige
Ichiro Suzuki
Carl Weathers
Dennis Seidenberg
Terry Bradshaw
Ty Cobb
Wilt Chamberlain
Pete Rose
Dave Winfield
John Elway
Bob Cousy
Igor Larionov
Egidio Arévalo Rios
Gary Payton
Youri Djorkaeff
Guy Lafleur
Pau Gasol
Tom Harmon
Nigel de Jong
Bill Goldberg
Danny Ainge
Bob Gibson
Jarome Iginla
Kasey Keller
Clayton Kershaw
Jari Kurri
Tim Horton
Jermaine Jones
Mario Lemieux
Ilya Kovalchuk
Frank Mahovlich
Don Shula
Frédéric Piquionne
Bart Starr
Edgaras Jankauskas
Julius Erving
Ashley Cole
Charles Barkley
Robbie Rogers
Tim Howard
Jerry West
Chris Paul
Frank Gifford
Antonio Nocerino
Gale Sayers
Christy Mathewson
Joakim Noah
John Matuszak
Rick Fox
Pavel Datsyuk
Lionel Conacher
Benny Feilhaber
Roy Campanella
Walter Payton
Ernie Banks
Bashkim Kadrii
Ed O'Neill
Peyton Manning
Emmitt Smith
Grant Hill
Kenny Lofton
Chase Young
Ara Parseghian
George Plimpton
Bubba Smith
Jürgen Locadia
Sidney Crosby
David Beckham
Jozy Altidore
Arvydas Sabonis
Paul Kariya
Honus Wagner
Carmelo Anthony
Herculez Gomez
R.A. Dickey
George Halas
Kobe Bryant
Jack Kemp
Lutz Pfannenstiel
Robbie Keane
Alex Rodriguez
Shaquille O'Neal
Babe Ruth
Júlio Baptista
Torsten Frings
Otto Graham
Yao Ming
Jackie Robinson
Alan Ball, Jr.
José Canseco
Drew Brees
Michael Strahan
Gordie Howe
Billy Sunday
Joe DiMaggio
LeBron James
Russell Wilson
Peter Forsberg
Dominik Hašek
Brian Bosworth
Tony Parker
Wayne Rooney
Alex Karras
Christian Bolaños
Kareem Abdul-Jabbar
Larry Bird
Marco Ureña
Dirk Nowitzki
Wayne Gretzky
Larry Doby
Timothy Brown
DaMarcus Beasley
Dean Cain
Ray Allen
Red Grange
Rick Barry
Bill Bradley
Alexi Lalas
Nick Swisher
Terry Sawchuk
Juninho Pernambucano
Jim Thorpe
Brett Favre
Nelson Valdez
Pat Tillman
Roman Reigns
Emanuel Pogatetz
Kendall Waston
Michael Bradley
Ken Dryden
Warren Spahn
Lawrence Taylor
Andreas Ivanschitz
Dwyane Wade
Warren Moon
Olumide Oyedeji
Phil Jackson
Mariano Rivera
Nani
Frank Robinson
Arne Friedrich
Bill Russell
Marco Di Vaio
Brad Friedel
Scottie Pippen
Deion Sanders
Frank Lampard
Alexei Kovalev
Bernie Casey
John Olerud
Tom Seaver
Carlos Bocanegra
Jesse Hibbs
Casey Stengel
Rosey Grier
Jim Bunning
Tim Tebow
Hristo Stoichkov
Joe Garagiola Sr.
Viacheslav Fetisov
Šarūnas Jasikevičius
Nate Schierholtz
Byron White
Ollie Matson
Jim Brown
Brett Hull
Roberto Clemente
Sergei Makarov
Boris Diaw
Dražen Petrović
Tony Dungy
Aleksandar Đorđević
Obafemi Martins
Bronko Nagurski
Ted Williams
Ron W. Miller
Mark Messier
O. J. Simpson
Kevin Durant
Steve Yzerman
David Carney
Dennis Rodman
Javier Hernández
Connie Mack
Marcos Mondaini
David Villa
Júlio César
Zack Steffen
Merlin Olsen
Jacques Plante
Carlos Arroyo
Bob Hayes
Pavol Demitra
Gary Carter
Ernie Davis
Hank Greenberg
Ryan Smyth
Alexander Ovechkin
Pavel Bure
Carlos Beltrán
Troy Aikman
Elton Brand
Yu Darvish
Hugo Sánchez
Pedro Martinez
Marc Gasol
Efren Navarro
Karl Malone
Allen Iverson
Dan Marino
Wim Suurbier
Peter Šťastný
Lothar Matthäus
Giovani dos Santos
Marián Hossa
Guus Hiddink
Moses Malone
Tommie Smith
Hank Aaron
Dwight Howard
Randy Moss
Patrick Roy
Jean Béliveau
Howie Morenz
Magic Johnson
Siem de Jong
Maurice Richard
Bud Grant
Steven Gerrard
Teemu Sälännä
Luis Scola
Eric Lindros
Landon Donovan
Megan Rapinoe
Bo Jackson
Herschel Walker
Phil Esposito
Abel Xavier
Jiří Šlégr
Chuck Connors
Raïs M'Bolhi
Walter Zenga
Carlos Valderrama
Daniel Santiago
Cy Young
Blaise Matuidi
Freddie Ljungberg
Alessandro Nesta
Leon Allen White
Oscar Robertson
Vladimír Růžička
Florent Sinama Pongolle
Jermain Defoe
Michael Umaña
Willie Mays
David Robinson
Barry Bonds
Freddy Adu
Dave DeBusschere
Gonzalo Higuaín
Metta Sandiford-Artest
Bobby Hull
Hakeem Olajuwon
Johnny Unitas
Bobby Orr
Mickey Mantle
Kevin Love
